ID,Name,Type
1209,Harrison Park Pk-8,traditional
1210,Hartley Elementary,traditional
1211,Hayhurst Elementary,traditional
1212,Hb Lee Middle School,traditional
1214,Highland Elementary,traditional
1216,Hogan Cedars,traditional
1217,Hollydale Elementary,traditional
1221,Hosford International Middle School,traditional
1224,Irvington K-8,traditional
1225,The Ivy School,charter
1226,Jackson Middle School,traditional
1227,James John Elementary,traditional
1228,Jefferson High School,traditional
1231,Kairospdx,charter
1232,Kelly Creek Elementary,traditional
1233,Kelly Elementary,traditional
1235,King Pk-8,traditional
1236,Knova Reynolds Public Charter,charter
1239,Lane Middle School,traditional
1240,Laurelhurst K-8,traditional
1241,Le Monde French Immersion,charter
1242,Lee K-8,traditional
1243,Lent K-8,traditional
1244,Lewis Elementary,traditional
1245,Lewis/Clark Montessori Charter,charter
1246,Lincoln High School,traditional
1247,Lincoln Park Elementary,traditional
1250,Llewellyn Elementary,traditional
1251,Lynch Meadows Elementary,traditional
1252,Lynch View Elementary,traditional
1253,Lynch Wood Elementary,traditional
1256,Madison High School,traditional
1259,Maplewood Elementary,traditional
1260,Margaret Scott Elementary,traditional
1261,Markham Elementary,traditional
1262,Marysville K-8,traditional
1263,Me Web Academy High School,charter
1264,Me Web Academy Middle School,charter
1265,Menlo Park Elementary,traditional
1274,Metropolitan Learning Center K-8,traditional
1275,Metropolitan Learning Ctr High School,traditional
1276,Mill Park Elementary,traditional
1284,Mt Tabor Middle School,traditional
1285,Multisensory Learning Academy Elementary School,charter
1286,Multisensory Learning Academy Middle School,charter
1290,North Gresham Elementary,traditional
1294,Oliver Elementary,traditional
1295,Opal Charter School,charter
1300,Parklane Elementary,traditional
1301,Parkrose High School,traditional
1302,Parkrose Middle School,traditional
1305,Peninsula K-8,traditional
1311,Pleasant Valley Elementary,traditional
1316,Portland International Scholars Academy,traditional
1321,Portland Village School,charter
1323,Powell Valley Grade School,traditional
1324,Prescott Elementary,traditional
1328,Reynolds Arthur Academy,charter
1329,Reynolds High School,traditional
1330,Reynolds Learning Academy,traditional
1331,Reynolds Middle School,traditional
1332,Richmond Elementary,traditional
1333,Rieke Elementary,traditional
1334,Rigler K-5,traditional
1335,Riverdale Grade School,traditional
1336,Riverdale High School,traditional
1337,Robert Gray Middle School,traditional
1338,Ron Russell Middle School,traditional
1339,Roosevelt High School,traditional
1340,Rosa Parks E.S.,traditional
1344,Roseway Heights K-8,traditional
1345,Russell Academy,traditional
1346,Sabin K-8,traditional
1347,Sacramento Elementary,traditional
1349,Salish Ponds Elementary,traditional
1350,Sam Barlow High School,traditional
1351,Scott K-8,traditional
1352,Self Enhancement Inc. Academy,charter
1353,Sellwood Middle School,traditional
1355,Shaver Elementary,traditional
1357,Sitton Elementary,traditional
1358,Skyline K-8,traditional
1359,Southwest Charter School,charter
1360,Springwater Trail High School,traditional
1370,Stephenson Elementary,traditional
1372,Sunnyside Environmental K-8,traditional
1374,Sweetbriar Elementary,traditional
1375,Trillium Public Charter,charter
1378,Troutdale Elementary,traditional
1380,Ventura Park Elementary,traditional
1381,Vernon K-8,traditional
1382,Vestal K-8,traditional
1384,Walt Morey Middle School,traditional
1385,West Gresham Elementary,traditional
1388,West Orient Middle School,traditional
1389,West Powellhurst Elementary,traditional
1390,West Sylvan Middle School,traditional
1392,Whitman Elementary,traditional
1394,Wilkes Elementary,traditional
1395,Wilson High School,traditional
1396,Winterhaven K-8,traditional
1397,Woodland Elementary,traditional
1398,Woodlawn Pk-8,traditional
1399,Woodmere Elementary,traditional
1400,Woodstock Elementary,traditional
1403,Ash Creek Elementary,traditional
1404,Brush College Elementary,traditional
1405,Central High School,traditional
1406,Chapman Hill,traditional
1407,Dallas Community School,charter
1408,Dallas High School,traditional
1411,Falls City Elementary,traditional
1412,Falls City High School,traditional
1415,Harritt Elementary,traditional
1416,Independence Elementary School,traditional
1417,Kalapuya Elementary,traditional
1418,Lacreole Middle School,traditional
1419,Lvc-Luckiamute Valley Charter School,charter
1420,Lyle Elementary School,traditional
1423,Monmouth Elementary School,traditional
1424,Myers Elementary,traditional
1425,Oakdale Heights,traditional
1430,Straub Middle School,traditional
1431,Talmadge Middle School,traditional
1433,Walker Middle School,traditional
1434,West Salem High School,traditional
1436,Whitworth Elementary,traditional
1437,East Elementary,traditional
1438,Garibaldi Grade School,traditional
1439,Liberty Elementary,traditional
1441,Neahkahnie High School,traditional
1442,Neahkahnie Middle School,traditional
1443,Nehalem Elementary,traditional
1445,Nestucca Middle/High School,traditional
1446,Nestucca Valley Elementary School,traditional
1449,South Prairie Elementary School,traditional
1451,Tillamook High School,traditional
1452,Tillamook Junior High School,traditional
1453,Tillamook Youth Correctional Facility,traditional
1454,Armand Larive Middle School,traditional
1455,Athena Elementary,traditional
1457,Central Middle School,traditional
1458,Clara Brownell Middle School,traditional
1459,Desert View Elementary,traditional
1460,Echo Elementary And High School,traditional
1461,Ferndale Elementary School,traditional
1462,Freewater Elementary,traditional
1463,Grove Elementary,traditional
1465,Hawthorne School,traditional
1466,Helix School District,traditional
1468,Hermiston High School,traditional
1470,Highland Hills Elementary,traditional
1474,McKay Creek Elementary,traditional
1475,McLoughlin High School,traditional
1476,McNary Heights Elementary,traditional
1478,Nixyaawii Community School,charter
1479,Pendleton Early Learning Center,traditional
1480,Pendleton High School,traditional
1481,Pilot Rock Elementary,traditional
1482,Pilot Rock Jr/Sr High School,traditional
1483,Rocky Heights Elementary,traditional
1484,Sandstone Middle School,traditional
1485,Sherwood Heights Elementary,traditional
1486,Stanfield Elementary,traditional
1487,Stanfield Secondary,traditional
1488,Sunridge Middle School,traditional
1489,Sunset Elementary,traditional
1491,Ukiah Elementary And High School,traditional
1492,Umatilla High School,traditional
1493,Washington Elementary,traditional
1494,West Park Elementary,traditional
1495,Weston Middle School,traditional
1496,Weston-McEwen High School,traditional
1497,Central Elementary School,traditional
1498,Cove School District/Charter School,charter
1499,Stella Mayfield Elementary/Elgin High School,traditional
1502,Greenwood Elementary School,traditional
1503,Imbler Elementary,charter
1504,Imbler Jr/Sr High,charter
1505,Island City Elementary,traditional
1506,La Grande High School,traditional
1507,La Grande Middle School,traditional
1510,North Powder School,charter
1512,Riverbend High School Oya,traditional
1513,Union Elementary/High School,traditional
1514,Union High School,traditional
1515,Willow Elementary School,traditional
1516,Enterprise Elementary,traditional
1517,Enterprise Jr/Sr High School,traditional
1519,Joseph Schools,traditional
1521,Wallowa Elementary/High Schools,traditional
1522,Arlington Elementary,charter
1523,Arlington High School,charter
1524,Chenowith Elementary School,traditional
1525,Colonel Wright Elementary School,traditional
1527,Condon Grade School,traditional
1528,Condon High School,traditional
1530,Dry Hollow Elementary School,traditional
1531,Dufur School Dist #29,traditional
1532,Maupin Gradeschool/Little Learners Preschool,traditional
1533,Mosier Community School,charter
1535,Sherman County School,traditional
1537,South Wasco County Jr/High School,traditional
1539,The Dalles High School,traditional
1540,The Dalles Middle School,traditional
1541,Wahtonka Community School,traditional
1544,Alberta Rider Elementary,traditional
1545,Aloha High School,traditional
1546,Aloha-Huber Park School,traditional
1548,Archer Glen Elementary,traditional
1549,Arco Iris Spanish Immersion School,charter
1550,Arts And Communications,traditional
1551,Banks Elementary School,traditional
1552,Banks High School,traditional
1553,Banks Middle School,traditional
1554,Barnes Elementary,traditional
1556,Beaver Acres Elementary,traditional
1558,Beaverton High School,traditional
1559,Bethany Elementary,traditional
1561,Bonny Slope Elementary,traditional
1562,Bridgeport Elementary School,traditional
1563,Brookwood Elementary School,traditional
1564,Brown Middle School,traditional
1566,Butternut Creek Elementary,traditional
1567,Byrom Elementary,traditional
1574,Cedar Mill Elementary,traditional
1575,Cedar Park Middle School,traditional
1576,Century High School,traditional
1577,Charles F Tigard Elementary,traditional
1578,Chehalem Elementary,traditional
1581,City View Charter School,charter
1583,Conestoga Middle,traditional
1584,Cooper Mountain Elementary,traditional
1587,Cornelius Elementary,traditional
1592,Deer Creek Elementary,traditional
1593,Dilley Elementary,traditional
1594,Durham Education Center,traditional
1595,Durham Elementary,traditional
1598,Eastwood Elementary,traditional
1599,Echo Shaw Elementary,traditional
1601,Edy Ridge Elementary,traditional
1602,Elmonica Elementary,traditional
1603,Errol Hassell Elementary,traditional
1604,Evergreen Middle School,traditional
1606,Farmington View Elementary,traditional
1607,Fern Hill Elementary,traditional
1608,Findley Elementary,traditional
1609,Fir Grove Elementary,traditional
1610,Five Oaks Middle School,traditional
1611,Forest Grove Community School,charter
1612,Forest Grove High School,traditional
1614,Fowler Middle School,traditional
1615,Free Orchards Elementary,traditional
1617,Gaston Elementary,traditional
1618,Gaston Jr. Sr High School,traditional
1620,Glencoe High School,traditional
1621,Greenway Elementary,traditional
1622,Groner Elementary,traditional
1623,Groner Middle School,traditional
1625,Harvey Clarke Elementary,traditional
1626,Hazelbrook Middle School,traditional
1627,Hazeldale Elementary,traditional
1628,Health & Science School,traditional
1629,Highland Park Middle School,traditional
1630,Hillsboro High School,traditional
1631,Hillsboro Online Academy,traditional
1633,Hiteon Elementary,traditional
1635,Hope Chinese Charter School,charter
1638,Imlay Elementary,traditional
1639,Indian Hills Elementary,traditional
1640,International School Of Beaverton ( Isb ),traditional
1642,J Clyde Hopkins Elementary School,traditional
1643,Jackson Elementary,traditional
1644,Jacob Wismer Elementary,traditional
1646,Joseph Gale Elementary School,traditional
1648,Kinnaman Elementary,traditional
1650,Ladd Acres Elementary,traditional
1651,Laurel Ridge Middle School,traditional
1654,Lenox Elementary,traditional
1656,Liberty High School,traditional
1658,Lincoln Street Elementary,traditional
1662,Mary Woodward Elementary,traditional
1663,McKay Elementary,traditional
1664,McKinley Elementary,traditional
1665,McKinney Elementary,traditional
1666,Meadow Park Middle School,traditional
1667,Merlo Station Community High School,traditional
1668,Merlo Station Science And Technology,traditional
1669,Metzger Elementary School,traditional
1670,Middleton Elementary,traditional
1673,Minter Bridge Elementary,traditional
1674,Mitch Charter School,charter
1675,Montclair Elementary,traditional
1677,Mooberry Elementary,traditional
1678,Mountain View Middle School,traditional
1681,Nancy Ryles Elementary,traditional
1682,Neil Armstrong Middle School,traditional
1684,North Plains Elementary,traditional
1687,Oak Hills Elementary,traditional
1690,Orenco Elementary,traditional
1692,Patterson Elementary,traditional
1694,Poynter Middle School,traditional
1696,Quatama Elementary,traditional
1697,Raleigh Hills Elementary,traditional
1698,Raleigh Park Elementary,traditional
1699,Reedville Elementary,traditional
1700,Ridgewood Elementary,traditional
1701,Rock Creek Elementary,traditional
1703,Rosedale Elementary,traditional
1704,Scholls Heights Elementary,traditional
1705,Sexton Mt. Elementary,traditional
1706,Sherwood Charter School,charter
1707,Sherwood High School,traditional
1708,Sherwood Middle School,traditional
1710,South Meadows Middle School,traditional
1711,Southridge High School,traditional
1713,Springville School,traditional
1721,Stoller Middle School,traditional
1722,Sunset High School,traditional
1725,Templeton James Elementary,traditional
1726,Terra Linda Elementary,traditional
1729,Tigard High School,traditional
1731,Tobias Elementary,traditional
1732,Tom McCall Upper Elementary,traditional
1735,Tualatin Elementary,traditional
1736,Tualatin High School,traditional
1738,Twality Middle School,traditional
1744,Vose Elementary,traditional
1745,W.L. Henry Elementary,traditional
1746,West Tualatin View Elementary,traditional
1747,West Union Elementary School,traditional
1750,Westview High School,traditional
1751,Whitford Middle School,traditional
1752,William Walker Elementary,traditional
1753,Witch Hazel Elementary,traditional
1755,Fossil Elementary,charter
1756,Insight School Of Oregon Painted Hills,charter
1757,Mitchell School District #55,traditional
1758,Spray School District #1,traditional
1759,Wheeler High School,charter
1760,Amity Elementary School,traditional
1761,Amity High School,traditional
1762,Amity Middle School,traditional
1763,Antonia Crater Elementary,traditional
1764,Buel Elementary School,traditional
1767,Chehalem Valley Middle School,traditional
1768,Columbus Elementary School,traditional
1770,Dayton Grade School,traditional
1771,Dayton High School,traditional
1772,Dayton Jr. High School,traditional
1774,Dundee Elementary School,traditional
1775,Duniway Middle School,traditional
1776,Edwards Elementary School,traditional
1777,Ewing Young Elementary School,traditional
1778,Faulconer-Chapman Elementary School,traditional
1779,Faulconer-Chapman Middle School,traditional
1780,Grandhaven Elementary,traditional
1782,Joan Austin Elementary,traditional
1784,Mabel Rush Elementary,traditional
1787,McMinnville High School,traditional
1789,Memorial Elementary School,traditional
1790,Mountain View Middle School,traditional
1791,Newberg High School,traditional
1792,Newby Elementary School,traditional
1793,Patton Middle School,traditional
1794,Sheridan High School,traditional
1795,Sheridan Japanese School,charter
1799,Wascher Elementary,traditional
1800,Willamina Elementary School,traditional
1801,Willamina High School,traditional
1802,Willamina Middle School,traditional
1803,Yamhill Carlton Elementary School,traditional
1804,Yamhill Carlton Intermediate School,traditional
1805,Yamhill-Carlton High School,traditional
16,Alsea Elementary School,charter
