State,Senator_x,First Name_x,Last Name,Official Senator Twitter Id,Senate Staff Twitter Id,Campaign/Other ID,Facebook (WIP),address,bioguide_id,class,email,First Name_y,leadership_position,member_full,party,phone,state,website,Senator_y,Abr.,Capital,Screen Name,Preferred Name,Image,Time,Description,Link,Text,Verified?,account_type,DateTime,Date,Address
Texas,Ted Cruz,Ted,Cruz,@SenTedCruz,,@tedcruz,,404 Russell Senate Office Building Washington DC 20510,C001098,Class I,http://www.cruz.senate.gov/?p=email_senator,Ted,,Cruz (R-TX),R,(202) 224-5922,TX,http://www.cruz.senate.gov,Ted Cruz,TX,Austin,@tedcruz,Ted Cruz,http://pbs.twimg.com/profile_images/727845526805188614/Becds2yE_normal.jpg,21:08:19,"Father of two, @heidiscruz's husband, fighter for liberty. Representing the great state of Texas in the U.S. Senate.",https://twitter.com/i/web/status/896840866181947392,"RT @HallieJackson: NEW: @SenTedCruz calls for DOJ investigation into #Charlottesville. Calls it ""domestic terrorism."" Cites ""moral obligati…",TRUE,Other/Campaign,2017-08-13 21:08:19,2017-08-13,"Austin, TX"
Texas,Ted Cruz,Ted,Cruz,@SenTedCruz,,@tedcruz,,404 Russell Senate Office Building Washington DC 20510,C001098,Class I,http://www.cruz.senate.gov/?p=email_senator,Ted,,Cruz (R-TX),R,(202) 224-5922,TX,http://www.cruz.senate.gov,Ted Cruz,TX,Austin,@tedcruz,Ted Cruz,http://pbs.twimg.com/profile_images/727845526805188614/Becds2yE_normal.jpg,6:21:04,"Father of two, @heidiscruz's husband, fighter for liberty. Representing the great state of Texas in the U.S. Senate.",https://twitter.com/i/web/status/896617581380902912,"RT @NRO: ""This Grotesque Act of Domestic Terrorism"" https://t.co/IBdO3Baz8R via @richlowry https://t.co/9UIBw72gBd",TRUE,Other/Campaign,2017-08-13 6:21:04,2017-08-13,"Austin, TX"
Texas,Ted Cruz,Ted,Cruz,@SenTedCruz,,@tedcruz,,404 Russell Senate Office Building Washington DC 20510,C001098,Class I,http://www.cruz.senate.gov/?p=email_senator,Ted,,Cruz (R-TX),R,(202) 224-5922,TX,http://www.cruz.senate.gov,Ted Cruz,TX,Austin,@tedcruz,Ted Cruz,http://pbs.twimg.com/profile_images/727845526805188614/Becds2yE_normal.jpg,21:07:40,"Father of two, @heidiscruz's husband, fighter for liberty. Representing the great state of Texas in the U.S. Senate.",https://twitter.com/i/web/status/896840704009187328,"RT @PatrickSvitek: Just in: @TedCruz wants Justice Department to investigate ""domestic terrorism"" in #Charlottesville https://t.co/bfrn1Uga…",TRUE,Other/Campaign,2017-08-13 21:07:40,2017-08-13,"Austin, TX"
Texas,Ted Cruz,Ted,Cruz,@SenTedCruz,,@tedcruz,,404 Russell Senate Office Building Washington DC 20510,C001098,Class I,http://www.cruz.senate.gov/?p=email_senator,Ted,,Cruz (R-TX),R,(202) 224-5922,TX,http://www.cruz.senate.gov,Ted Cruz,TX,Austin,@tedcruz,Ted Cruz,http://pbs.twimg.com/profile_images/727845526805188614/Becds2yE_normal.jpg,5:14:48,"Father of two, @heidiscruz's husband, fighter for liberty. Representing the great state of Texas in the U.S. Senate.",https://twitter.com/i/web/status/896600903947440129,"RT @RedState: Ted Cruz Calls Charlottesville Car Attack Deliberate ‘Domestic Terrorism’, Urges Justice Dept. Investigation https://t.co/x1J…",TRUE,Other/Campaign,2017-08-13 5:14:48,2017-08-13,"Austin, TX"
Montana,Steve Daines,Steve,Daines,@SteveDaines,,@DainesforMT,,320 Hart Senate Office Building Washington DC 20510,D000618,Class II,https://www.daines.senate.gov/connect/email-steve,Steve,,Daines (R-MT),R,(202) 224-2651,MT,http://www.daines.senate.gov,Steve Daines,MT,Helena,,,,,,,,,,,,
Indiana,Joe Donnelly,Joe,Donnelly,@SenDonnelly,,,,720 Hart Senate Office Building Washington DC 20510,D000607,Class I,https://www.donnelly.senate.gov/contact/email-joe,Joe,,Donnelly (D-IN),D,(202) 224-4814,IN,http://www.donnelly.senate.gov,Joe Donnelly,IN,Indianapolis,@SenDonnelly,Senator Joe Donnelly,http://pbs.twimg.com/profile_images/857707501067923457/TdS-N-Yx_normal.jpg,19:55:47,U.S. Senator Joe Donnelly's communications staff,https://twitter.com/i/web/status/896822609865789443,Joe condemned the hatred and bigotry in #Charlottesville &amp; talked about the growing North Korean threat. Listen: https://t.co/hccEdCmdop,TRUE,Official,2017-08-13 19:55:47,2017-08-13,"Indianapolis, IN"
Indiana,Joe Donnelly,Joe,Donnelly,@SenDonnelly,,,,720 Hart Senate Office Building Washington DC 20510,D000607,Class I,https://www.donnelly.senate.gov/contact/email-joe,Joe,,Donnelly (D-IN),D,(202) 224-4814,IN,http://www.donnelly.senate.gov,Joe Donnelly,IN,Indianapolis,@SenDonnelly,Senator Joe Donnelly,http://pbs.twimg.com/profile_images/857707501067923457/TdS-N-Yx_normal.jpg,17:34:04,U.S. Senator Joe Donnelly's communications staff,https://twitter.com/i/web/status/896424560370823169,We must stand together against hatred and bigotry that doesn't represent our values as Hoosiers or Americans. -Joe #Charlottesville,TRUE,Official,2017-08-12 17:34:04,2017-08-12,"Indianapolis, IN"
Illinois,Tammy Duckworth,Tammy,Duckworth,@SenDuckworth,@TammyforIL,TammyForIllinois,,524 Hart Senate Office Building Washington DC 20510,D000622,Class III,https://www.duckworth.senate.gov/content/contact-senator,Tammy,,Duckworth (D-IL),D,(202) 224-2854,IL,http://www.duckworth.senate.gov,Tammy Duckworth,IL,Springfield,@SenDuckworth,Tammy Duckworth,http://pbs.twimg.com/profile_images/871701991042547712/oLWWyHAs_normal.jpg,18:58:31,"Official Twitter account for Tammy Duckworth's Senate office. Posts by staff unless signed - TD. For more information, visit",https://twitter.com/i/web/status/896445811239911424,This display of hate in #Charlottesville is disgusting. Our nation's strength comes from our values of diversity an… https://t.co/lElvolQi99,TRUE,Official,2017-08-12 18:58:31,2017-08-12,"Springfield, IL"
Illinois,Dick Durbin,Dick,Durbin,@SenatorDurbin,,@DickDurbin,,711 Hart Senate Office Building Washington DC 20510,D000563,Class II,https://www.durbin.senate.gov/contact/,Richard,Whip,Durbin (D-IL),D,(202) 224-2152,IL,http://www.durbin.senate.gov,Richard Durbin,IL,Springfield,@DickDurbin,Dick Durbin,http://pbs.twimg.com/profile_images/871033873467142144/BsKIlB7O_normal.jpg,19:00:07,U.S. Senator for Illinois,https://twitter.com/i/web/status/897170989477494784,Heather Heyer fought to end inequality. My heart goes out to her family and friends. https://t.co/ajH64yafB3,TRUE,Other/Campaign,2017-08-14 19:00:07,2017-08-14,"Springfield, IL"
Illinois,Dick Durbin,Dick,Durbin,@SenatorDurbin,,@DickDurbin,,711 Hart Senate Office Building Washington DC 20510,D000563,Class II,https://www.durbin.senate.gov/contact/,Richard,Whip,Durbin (D-IL),D,(202) 224-2152,IL,http://www.durbin.senate.gov,Richard Durbin,IL,Springfield,@DickDurbin,Dick Durbin,http://pbs.twimg.com/profile_images/871033873467142144/BsKIlB7O_normal.jpg,19:29:37,U.S. Senator for Illinois,https://twitter.com/i/web/status/896453637572091910,This hatred and bigotry does not represent who we are as Americans. I condemn the violence happening in… https://t.co/sMDYXotUVB,TRUE,Other/Campaign,2017-08-12 19:29:37,2017-08-12,"Springfield, IL"
Illinois,Dick Durbin,Dick,Durbin,@SenatorDurbin,,@DickDurbin,,711 Hart Senate Office Building Washington DC 20510,D000563,Class II,https://www.durbin.senate.gov/contact/,Richard,Whip,Durbin (D-IL),D,(202) 224-2152,IL,http://www.durbin.senate.gov,Richard Durbin,IL,Springfield,@DickDurbin,Dick Durbin,http://pbs.twimg.com/profile_images/871033873467142144/BsKIlB7O_normal.jpg,16:55:01,U.S. Senator for Illinois,https://twitter.com/i/web/status/897139509132963843,"When one side has nazi flags and salutes, it’s not hard to see which side is the right side. 
https://t.co/Tx72i2DS8J",TRUE,Other/Campaign,2017-08-14 16:55:01,2017-08-14,"Springfield, IL"
Wyoming,Mike Enzi,Mike,Enzi,@SenatorEnzi,,@EnziforWyo,,379A Russell Senate Office Building Washington DC 20510,E000285,Class II,http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi,Michael,,Enzi (R-WY),R,(202) 224-3424,WY,http://www.enzi.senate.gov,Michael Enzi,WY,Cheyenne,@SenatorEnzi,Mike Enzi,http://pbs.twimg.com/profile_images/378800000059842815/d29a4825955e66d55338fe6ee386fe30_normal.png,16:07:55,Mike Enzi is Wyoming’s 20th U.S. Senator. His joy of representing Wyoming is topped by few things. (Being a grandfather and fly fishing are two).,https://twitter.com/i/web/status/897127655795044353,"Saddened by tragedy in Charlottesville. White supremacist notions, hate &amp; violence have no place in our society. Prayers are w/ the victims.",TRUE,Official,2017-08-14 16:07:55,2017-08-14,"Cheyenne, WY"
Iowa,Joni Ernst,Joni,Ernst,@joniernst,,,,111 Russell Senate Office Building Washington DC 20510,E000295,Class II,https://www.ernst.senate.gov/public/index.cfm/contact,Joni,,Ernst (R-IA),R,(202) 224-3254,IA,http://www.ernst.senate.gov,Joni Ernst,IA,Des Moines,,,,,,,,,,,,
California,Dianne Feinstein,Dianne,Feinstein,@SenFeinstein,,@DianneFeinstein,,331 Hart Senate Office Building Washington DC 20510,F000062,Class I,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,Dianne,,Feinstein (D-CA),D,(202) 224-3841,CA,http://www.feinstein.senate.gov,Dianne Feinstein,CA,Sacramento,@SenFeinstein,Sen Dianne Feinstein,http://pbs.twimg.com/profile_images/789490839940661249/t0nTT2sM_normal.jpg,19:11:10,United States Senator from California. On Facebook at: http://t.co/siExqwIu,https://twitter.com/i/web/status/896448995433861122,Violent acts of hate and bigotry have no place in America. The president must use his voice to condemn the events i… https://t.co/F0y3i415fk,TRUE,Official,2017-08-12 19:11:10,2017-08-12,"Sacramento, CA"
Nebraska,Deb Fischer,Deb,Fischer,@SenatorFischer,,@DebFischer2012,,454 Russell Senate Office Building Washington DC 20510,F000463,Class I,http://www.fischer.senate.gov/public/index.cfm/contact,Deb,,Fischer (R-NE),R,(202) 224-6551,NE,http://www.fischer.senate.gov,Deb Fischer,NE,Lincoln,@SenatorFischer,Senator Deb Fischer,http://pbs.twimg.com/profile_images/816319022182649860/pev9bNlJ_normal.jpg,20:00:09,U.S. Senator and Cherry County rancher working to bring some Nebraska common sense to Washington,https://twitter.com/i/web/status/896461325001519106,"The hatred, violence &amp; racism displayed in Charlottesville, VA have no place in our society. We must show civility &amp; respect to one another.",TRUE,Official,2017-08-12 20:00:09,2017-08-12,"Lincoln, NE"
Arizona,Jeff Flake,Jeff,Flake,@JeffFlake,,@FlakeforSenate,,413 Russell Senate Office Building Washington DC 20510,F000444,Class I,https://www.flake.senate.gov/public/index.cfm/contact-jeff,Jeff,,Flake (R-AZ),R,(202) 224-4521,AZ,http://www.flake.senate.gov,Jeff Flake,AZ,Phoenix,@JeffFlake,Jeff Flake,http://pbs.twimg.com/profile_images/3088681915/62adc90774fc399d3722e3df422994ba_normal.jpeg,18:54:50,Senator from Arizona,https://twitter.com/i/web/status/896444887213760512,The #WhiteSupremacy in #Charlottesville does not reflect the values of the America I know. Hate and bigotry have no place in this country.,TRUE,Official,2017-08-12 18:54:50,2017-08-12,"Phoenix, AZ"
Minnesota,Al Franken,Al,Franken,@SenFranken,,@alfranken,,309 Hart Senate Office Building Washington DC 20510,F000457,Class II,https://www.franken.senate.gov/?p=contact,Al,,Franken (D-MN),D,(202) 224-5641,MN,http://www.franken.senate.gov,Al Franken,MN,Saint Paul,@SenFranken,Sen. Al Franken,http://pbs.twimg.com/profile_images/885344348518449152/Fm9yfbNh_normal.jpg,18:47:30,Official account of U.S. Senator Al Franken of Minnesota.,https://twitter.com/i/web/status/896443041724211201,The hate we're seeing in #Charlottesville is vile. Our diverse communities make us stronger. Neo-Nazi hate groups do exact opposite.,TRUE,Official,2017-08-12 18:47:30,2017-08-12,"Saint Paul, MN"
Colorado,Cory Gardner,Cory,Gardner,@SenCoryGardner,,@CoryGardner,,354 Russell Senate Office Building Washington DC 20510,G000562,Class II,https://www.gardner.senate.gov/contact-cory/email-cory,Cory,,Gardner (R-CO),R,(202) 224-5941,CO,http://www.gardner.senate.gov,Cory Gardner,CO,Denver,@SenCoryGardner,Cory Gardner,http://pbs.twimg.com/profile_images/562347582215573505/4BV0djAm_normal.jpeg,20:15:40,Proudly serving the state of Colorado in the United States Senate. This is my official Senate Twitter account.,https://twitter.com/i/web/status/896465229181210624,Praying for those hurt &amp; killed today in Charlottesville. This is nothing short of domestic terrorism &amp; should be named as such.,TRUE,Official,2017-08-12 20:15:40,2017-08-12,"Denver, CO"
Colorado,Cory Gardner,Cory,Gardner,@SenCoryGardner,,@CoryGardner,,354 Russell Senate Office Building Washington DC 20510,G000562,Class II,https://www.gardner.senate.gov/contact-cory/email-cory,Cory,,Gardner (R-CO),R,(202) 224-5941,CO,http://www.gardner.senate.gov,Cory Gardner,CO,Denver,@SenCoryGardner,Cory Gardner,http://pbs.twimg.com/profile_images/562347582215573505/4BV0djAm_normal.jpeg,16:52:13,Proudly serving the state of Colorado in the United States Senate. This is my official Senate Twitter account.,https://twitter.com/i/web/status/896414028502769664,The hate being spewed in Virginia has no place in this country. It's deeply disturbing and un-American.,TRUE,Official,2017-08-12 16:52:13,2017-08-12,"Denver, CO"
New York,Kirsten Gillibrand,Kirsten,Gillibrand,@SenGillibrand,,,,478 Russell Senate Office Building Washington DC 20510,G000555,Class I,https://www.gillibrand.senate.gov/contact/email-me,Kirsten,,Gillibrand (D-NY),D,(202) 224-4451,NY,http://www.gillibrand.senate.gov,Kirsten Gillibrand,NY,Albany,@SenGillibrand,Kirsten Gillibrand,http://pbs.twimg.com/profile_images/828637094260121600/VpJGxC8b_normal.jpg,21:05:47,"Theo and Henry's mom, U.S. Senator from New York, author of NYT bestseller Off the Sidelines. Pitcher, but sometimes left fielder. Democrat.",https://twitter.com/i/web/status/897202616077254656,RT @getots: “Heather’s life was about — passionately about — fairness and equality and caring.” https://t.co/UTPSGZttIl,TRUE,Official,2017-08-14 21:05:47,2017-08-14,"Albany, NY"
New York,Kirsten Gillibrand,Kirsten,Gillibrand,@SenGillibrand,,,,478 Russell Senate Office Building Washington DC 20510,G000555,Class I,https://www.gillibrand.senate.gov/contact/email-me,Kirsten,,Gillibrand (D-NY),D,(202) 224-4451,NY,http://www.gillibrand.senate.gov,Kirsten Gillibrand,NY,Albany,@SenGillibrand,Kirsten Gillibrand,http://pbs.twimg.com/profile_images/828637094260121600/VpJGxC8b_normal.jpg,2:00:51,"Theo and Henry's mom, U.S. Senator from New York, author of NYT bestseller Off the Sidelines. Pitcher, but sometimes left fielder. Democrat.",https://twitter.com/i/web/status/896552094777454593,The images out of Charlottesville are some of the worst I've seen in America in my adult life.,TRUE,Official,2017-08-13 2:00:51,2017-08-13,"Albany, NY"
New York,Kirsten Gillibrand,Kirsten,Gillibrand,@SenGillibrand,,,,478 Russell Senate Office Building Washington DC 20510,G000555,Class I,https://www.gillibrand.senate.gov/contact/email-me,Kirsten,,Gillibrand (D-NY),D,(202) 224-4451,NY,http://www.gillibrand.senate.gov,Kirsten Gillibrand,NY,Albany,@SenGillibrand,Kirsten Gillibrand,http://pbs.twimg.com/profile_images/828637094260121600/VpJGxC8b_normal.jpg,18:34:12,"Theo and Henry's mom, U.S. Senator from New York, author of NYT bestseller Off the Sidelines. Pitcher, but sometimes left fielder. Democrat.",https://twitter.com/i/web/status/896439694313103362,"We must not remain silent or accept the hate and bigotry brought to Charlottesville, VA—or anywhere in this country.",TRUE,Official,2017-08-12 18:34:12,2017-08-12,"Albany, NY"
South Carolina,Lindsey Graham,Lindsey,Graham,@GrahamBlog,,@LindseyGrahamSC,,290 Russell Senate Office Building Washington DC 20510,G000359,Class II,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,Lindsey,,Graham (R-SC),R,(202) 224-5972,SC,http://www.lgraham.senate.gov/,Lindsey Graham,SC,Columbia,@LindseyGrahamSC,Lindsey Graham,http://pbs.twimg.com/profile_images/700010049729482753/GB0EVBPI_normal.jpg,14:19:18,The official Twitter feed for United States Senator Lindsey Graham.,https://twitter.com/i/web/status/896737932635144192,RT @FoxNewsSunday: .@LindseyGrahamSC on #Charlottesville nationalist groups: Their cause is un-American. It’s up to @POTUS to correct the m…,TRUE,Other/Campaign,2017-08-13 14:19:18,2017-08-13,"Columbia, SC"
South Carolina,Lindsey Graham,Lindsey,Graham,@GrahamBlog,,@LindseyGrahamSC,,290 Russell Senate Office Building Washington DC 20510,G000359,Class II,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,Lindsey,,Graham (R-SC),R,(202) 224-5972,SC,http://www.lgraham.senate.gov/,Lindsey Graham,SC,Columbia,@LindseyGrahamSC,Lindsey Graham,http://pbs.twimg.com/profile_images/700010049729482753/GB0EVBPI_normal.jpg,14:18:28,The official Twitter feed for United States Senator Lindsey Graham.,https://twitter.com/i/web/status/896737723402387460,"RT @FoxNewsSunday: .@LindseyGrahamSC on #Charlottesville protests: It was an act of domestic terrorism, these are hate-filled groups and en…",TRUE,Other/Campaign,2017-08-13 14:18:28,2017-08-13,"Columbia, SC"
South Carolina,Lindsey Graham,Lindsey,Graham,@GrahamBlog,,@LindseyGrahamSC,,290 Russell Senate Office Building Washington DC 20510,G000359,Class II,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,Lindsey,,Graham (R-SC),R,(202) 224-5972,SC,http://www.lgraham.senate.gov/,Lindsey Graham,SC,Columbia,@LindseyGrahamSC,Lindsey Graham,http://pbs.twimg.com/profile_images/700010049729482753/GB0EVBPI_normal.jpg,14:19:03,The official Twitter feed for United States Senator Lindsey Graham.,https://twitter.com/i/web/status/896737871620698113,RT @FoxNewsSunday: .@LindseyGrahamSC on backlash after @POTUS' #Charlottesville rally comments: Trump missed an opportunity to be very expl…,TRUE,Other/Campaign,2017-08-13 14:19:03,2017-08-13,"Columbia, SC"
South Carolina,Lindsey Graham,Lindsey,Graham,@GrahamBlog,,@LindseyGrahamSC,,290 Russell Senate Office Building Washington DC 20510,G000359,Class II,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,Lindsey,,Graham (R-SC),R,(202) 224-5972,SC,http://www.lgraham.senate.gov/,Lindsey Graham,SC,Columbia,@LindseyGrahamSC,Lindsey Graham,http://pbs.twimg.com/profile_images/700010049729482753/GB0EVBPI_normal.jpg,14:19:07,The official Twitter feed for United States Senator Lindsey Graham.,https://twitter.com/i/web/status/896737888993411073,RT @FoxNewsSunday: .@LindseyGrahamSC on white nationalist groups at #Charlottesville rally: I’m glad they don’t like me and don’t believe I…,TRUE,Other/Campaign,2017-08-13 14:19:07,2017-08-13,"Columbia, SC"
South Carolina,Lindsey Graham,Lindsey,Graham,@GrahamBlog,,@LindseyGrahamSC,,290 Russell Senate Office Building Washington DC 20510,G000359,Class II,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,Lindsey,,Graham (R-SC),R,(202) 224-5972,SC,http://www.lgraham.senate.gov/,Lindsey Graham,SC,Columbia,@LindseyGrahamSC,Lindsey Graham,http://pbs.twimg.com/profile_images/700010049729482753/GB0EVBPI_normal.jpg,14:18:58,The official Twitter feed for United States Senator Lindsey Graham.,https://twitter.com/i/web/status/896737850611441665,RT @FoxNewsSunday: .@LindseyGrahamSC on white nationalist rally groups in #Charlottesville: I’d like Homeland Security to look at size &amp; sc…,TRUE,Other/Campaign,2017-08-13 14:18:58,2017-08-13,"Columbia, SC"
Iowa,Chuck Grassley,Chuck,Grassley,@ChuckGrassley,@GrassleyOffice,@GrassleyWorks,,135 Hart Senate Office Building Washington DC 20510,G000386,Class III,http://www.grassley.senate.gov/contact,Chuck,,Grassley (R-IA),R,(202) 224-3744,IA,http://www.grassley.senate.gov,Chuck Grassley,IA,Des Moines,@GrassleyWorks,Grassley Works,http://pbs.twimg.com/profile_images/758691191361826816/L3I9Eki7_normal.jpg,17:36:00,#GrassleyWorks for Iowa. Follow the U.S. Senator at @ChuckGrassley.,https://twitter.com/i/web/status/896787434851192832,"RT @ChuckGrassley: What "" WhiteNatjonalist"" are doing in Charlottesville is homegrown terrorism that can't be tolerated anymore that what A…",FALSE,Other/Campaign,2017-08-13 17:36:00,2017-08-13,"Des Moines, IA"
Iowa,Chuck Grassley,Chuck,Grassley,@ChuckGrassley,@GrassleyOffice,@GrassleyWorks,,135 Hart Senate Office Building Washington DC 20510,G000386,Class III,http://www.grassley.senate.gov/contact,Chuck,,Grassley (R-IA),R,(202) 224-3744,IA,http://www.grassley.senate.gov,Chuck Grassley,IA,Des Moines,@ChuckGrassley,ChuckGrassley,http://pbs.twimg.com/profile_images/37902202/Official_Portrait__cropped__September_2007_normal.jpg,21:11:30,"U.S. Senator. Family farmer. Lifetime resident of New Hartford, IA. Also follow @GrassleyPress for news and information.",https://twitter.com/i/web/status/896479276790292480,"What "" WhiteNatjonalist"" are doing in Charlottesville is homegrown terrorism that can't be tolerated anymore that what Any extremist does",TRUE,Official,2017-08-12 21:11:30,2017-08-12,"Des Moines, IA"
California,Kamala Harris,Kamala,Harris,@SenKamalaHarris,,@KamalaHarris,KamalaHarris,112 Hart Senate Office Building Washington DC 20510,H001075,Class III,https://www.harris.senate.gov/content/contact-senator,Kamala,,Harris (D-CA),D,(202) 224-3553,CA,http://www.harris.senate.gov,Kamala Harris,CA,Sacramento,@KamalaHarris,Kamala Harris,http://pbs.twimg.com/profile_images/877902898889412608/6Vfu5kVd_normal.jpg,16:47:02,"Senator for California. Former CA Attorney General. Dedicated to fighting for justice & giving voice to the voiceless. Wife, s-mom, sister, aunt. Aspiring chef.",https://twitter.com/i/web/status/896775109997998080,"Heather Heyer, 32-years-old, was the victim of white supremacist violence yesterday in Charlottesville. 

Rest In P… https://t.co/SRpSkMjzs5",TRUE,Other/Campaign,2017-08-13 16:47:02,2017-08-13,"Sacramento, CA"
California,Kamala Harris,Kamala,Harris,@SenKamalaHarris,,@KamalaHarris,KamalaHarris,112 Hart Senate Office Building Washington DC 20510,H001075,Class III,https://www.harris.senate.gov/content/contact-senator,Kamala,,Harris (D-CA),D,(202) 224-3553,CA,http://www.harris.senate.gov,Kamala Harris,CA,Sacramento,@KamalaHarris,Kamala Harris,http://pbs.twimg.com/profile_images/877902898889412608/6Vfu5kVd_normal.jpg,14:32:57,"Senator for California. Former CA Attorney General. Dedicated to fighting for justice & giving voice to the voiceless. Wife, s-mom, sister, aunt. Aspiring chef.",https://twitter.com/i/web/status/897103754574614529,"If we say this is not who we are, it’s on us to show that. We don’t have to let extremists define our nation.
https://t.co/k3YNHbSA3f",TRUE,Other/Campaign,2017-08-14 14:32:57,2017-08-14,"Sacramento, CA"
California,Kamala Harris,Kamala,Harris,@SenKamalaHarris,,@KamalaHarris,KamalaHarris,112 Hart Senate Office Building Washington DC 20510,H001075,Class III,https://www.harris.senate.gov/content/contact-senator,Kamala,,Harris (D-CA),D,(202) 224-3553,CA,http://www.harris.senate.gov,Kamala Harris,CA,Sacramento,@KamalaHarris,Kamala Harris,http://pbs.twimg.com/profile_images/877902898889412608/6Vfu5kVd_normal.jpg,19:33:02,"Senator for California. Former CA Attorney General. Dedicated to fighting for justice & giving voice to the voiceless. Wife, s-mom, sister, aunt. Aspiring chef.",https://twitter.com/i/web/status/896816886624727046,RIP Lt. H. Jay Cullen and Trooper-Pilot Berke M.M. Bates who lost their lives in a helicopter crash in Charlottesvi… https://t.co/KcbrQMfl0A,TRUE,Other/Campaign,2017-08-13 19:33:02,2017-08-13,"Sacramento, CA"
California,Kamala Harris,Kamala,Harris,@SenKamalaHarris,,@KamalaHarris,KamalaHarris,112 Hart Senate Office Building Washington DC 20510,H001075,Class III,https://www.harris.senate.gov/content/contact-senator,Kamala,,Harris (D-CA),D,(202) 224-3553,CA,http://www.harris.senate.gov,Kamala Harris,CA,Sacramento,@SenKamalaHarris,Kamala Harris,http://pbs.twimg.com/profile_images/877233930046504961/B0UoxZlN_normal.jpg,22:28:47,Official Twitter account of U.S. Senator Kamala Harris.,https://twitter.com/i/web/status/896861117674213376,"There are not ""many sides"" to this. My thoughts on Charlottesville. https://t.co/wR8DxyTljG https://t.co/Rrgw1pNv3B",TRUE,Official,2017-08-13 22:28:47,2017-08-13,"Sacramento, CA"
California,Kamala Harris,Kamala,Harris,@SenKamalaHarris,,@KamalaHarris,KamalaHarris,112 Hart Senate Office Building Washington DC 20510,H001075,Class III,https://www.harris.senate.gov/content/contact-senator,Kamala,,Harris (D-CA),D,(202) 224-3553,CA,http://www.harris.senate.gov,Kamala Harris,CA,Sacramento,@KamalaHarris,Kamala Harris,http://pbs.twimg.com/profile_images/877902898889412608/6Vfu5kVd_normal.jpg,15:30:17,"Senator for California. Former CA Attorney General. Dedicated to fighting for justice & giving voice to the voiceless. Wife, s-mom, sister, aunt. Aspiring chef.",https://twitter.com/i/web/status/896755795697782785,"We must speak out against white supremacists, hatred, and bigotry. Find a #Charlottesville vigil near you: 
https://t.co/VzjumD148U",TRUE,Other/Campaign,2017-08-13 15:30:17,2017-08-13,"Sacramento, CA"
New Hampshire,Maggie Hassan,Maggie,Hassan,@SenatorHassan,@AFJacobs,@Maggie_Hassan,maggiefornh,330 Hart Senate Office Building Washington DC 20510,H001076,Class III,https://www.hassan.senate.gov/content/contact-senator,Margaret Wood,,Hassan (D-NH),D,(202) 224-3324,NH,http://www.hassan.senate.gov,Margaret Wood Hassan,NH,Concord,@SenatorHassan,Sen. Maggie Hassan,http://pbs.twimg.com/profile_images/816304745799356416/m1OJdlNI_normal.jpg,23:34:20,This is the official Twitter account of U.S. Senator Maggie Hassan of New Hampshire.,https://twitter.com/i/web/status/896515223976382464,I stand with all of my colleagues from both parties who are calling white supremacism what it is: evil #charlottesville,TRUE,Official,2017-08-12 23:34:20,2017-08-12,"Concord, NH"
New Hampshire,Maggie Hassan,Maggie,Hassan,@SenatorHassan,@AFJacobs,@Maggie_Hassan,maggiefornh,330 Hart Senate Office Building Washington DC 20510,H001076,Class III,https://www.hassan.senate.gov/content/contact-senator,Margaret Wood,,Hassan (D-NH),D,(202) 224-3324,NH,http://www.hassan.senate.gov,Margaret Wood Hassan,NH,Concord,@SenatorHassan,Sen. Maggie Hassan,http://pbs.twimg.com/profile_images/816304745799356416/m1OJdlNI_normal.jpg,18:33:25,This is the official Twitter account of U.S. Senator Maggie Hassan of New Hampshire.,https://twitter.com/i/web/status/896439497696718848,Racism and hate on display in #Charlottesville goes against everything America stands for,TRUE,Official,2017-08-12 18:33:25,2017-08-12,"Concord, NH"
Utah,Orrin Hatch,Orrin,Hatch,@SenOrrinHatch,,@OrrinHatch,,104 Hart Senate Office Building Washington DC 20510,H000338,Class I,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,Orrin,President Pro Tempore,Hatch (R-UT),R,(202) 224-5251,UT,http://www.hatch.senate.gov/,Orrin Hatch,UT,Salt Lake City,@senorrinhatch,Senator Hatch Office,http://pbs.twimg.com/profile_images/879081064328830984/IhWAMCcr_normal.jpg,0:00:29,U.S. Senator from Utah. Tweets are by Sen. Hatch's staff; those signed ogh are from Sen. Hatch himself.,https://twitter.com/i/web/status/897246580876750850,"FULL REMARKS-- ""In Wake of Charlottesville Violence, Hatch Calls for Civility, Unity"" https://t.co/Zy2YaJf4un… https://t.co/Nlbx9IEFmy",TRUE,Official,2017-08-15 0:00:29,2017-08-15,
